"","year","date.deploy","DOY","trap.no","treatment","Location","notes","species","value"
"1",2015,2015-08-03,215,2,"A","Woody",NA,"sculpin",0
"2",2015,2015-08-03,215,2,"A","Woody",NA,"3-spine",1
"3",2015,2015-08-03,215,5,"A","Woody",NA,"sculpin",0
"4",2015,2015-08-03,215,5,"A","Woody",NA,"3-spine",0
"5",2015,2015-08-03,215,8,"A","Woody",NA,"sculpin",1
"6",2015,2015-08-03,215,8,"A","Woody",NA,"3-spine",0
"7",2015,2015-08-03,215,11,"A","Woody",NA,"sculpin",0
"8",2015,2015-08-03,215,11,"A","Woody",NA,"3-spine",0
"9",2015,2015-08-03,215,14,"A","Woody",NA,"sculpin",0
"10",2015,2015-08-03,215,14,"A","Woody",NA,"3-spine",0
"11",2015,2015-08-03,215,1,"C","Woody",NA,"sculpin",0
"12",2015,2015-08-03,215,1,"C","Woody",NA,"3-spine",0
"13",2015,2015-08-03,215,4,"C","Woody",NA,"sculpin",0
"14",2015,2015-08-03,215,4,"C","Woody",NA,"3-spine",0
"15",2015,2015-08-03,215,7,"C","Woody",NA,"sculpin",0
"16",2015,2015-08-03,215,7,"C","Woody",NA,"3-spine",0
"17",2015,2015-08-03,215,10,"C","Woody",NA,"sculpin",0
"18",2015,2015-08-03,215,10,"C","Woody",NA,"3-spine",0
"19",2015,2015-08-03,215,13,"C","Woody",NA,"sculpin",0
"20",2015,2015-08-03,215,13,"C","Woody",NA,"3-spine",0
"21",2015,2015-08-03,215,3,"E","Woody",NA,"sculpin",0
"22",2015,2015-08-03,215,3,"E","Woody",NA,"3-spine",2
"23",2015,2015-08-03,215,6,"E","Woody",NA,"sculpin",5
"24",2015,2015-08-03,215,6,"E","Woody",NA,"3-spine",0
"25",2015,2015-08-03,215,9,"E","Woody",NA,"sculpin",5
"26",2015,2015-08-03,215,9,"E","Woody",NA,"3-spine",0
"27",2015,2015-08-03,215,12,"E","Woody",NA,"sculpin",5
"28",2015,2015-08-03,215,12,"E","Woody",NA,"3-spine",1
"29",2015,2015-08-03,215,15,"E","Woody",NA,"sculpin",3
"30",2015,2015-08-03,215,15,"E","Woody",NA,"3-spine",0
"31",2015,2015-08-03,215,2,"A","Fuel Dump",NA,"sculpin",0
"32",2015,2015-08-03,215,2,"A","Fuel Dump",NA,"3-spine",0
"33",2015,2015-08-03,215,5,"A","Fuel Dump",NA,"sculpin",0
"34",2015,2015-08-03,215,5,"A","Fuel Dump",NA,"3-spine",0
"35",2015,2015-08-03,215,8,"A","Fuel Dump",NA,"sculpin",0
"36",2015,2015-08-03,215,8,"A","Fuel Dump",NA,"3-spine",1
"37",2015,2015-08-03,215,11,"A","Fuel Dump",NA,"sculpin",1
"38",2015,2015-08-03,215,11,"A","Fuel Dump",NA,"3-spine",0
"39",2015,2015-08-03,215,14,"A","Fuel Dump",NA,"sculpin",0
"40",2015,2015-08-03,215,14,"A","Fuel Dump",NA,"3-spine",1
"41",2015,2015-08-03,215,1,"C","Fuel Dump",NA,"sculpin",0
"42",2015,2015-08-03,215,1,"C","Fuel Dump",NA,"3-spine",0
"43",2015,2015-08-03,215,4,"C","Fuel Dump",NA,"sculpin",0
"44",2015,2015-08-03,215,4,"C","Fuel Dump",NA,"3-spine",4
"45",2015,2015-08-03,215,7,"C","Fuel Dump",NA,"sculpin",0
"46",2015,2015-08-03,215,7,"C","Fuel Dump",NA,"3-spine",0
"47",2015,2015-08-03,215,10,"C","Fuel Dump",NA,"sculpin",0
"48",2015,2015-08-03,215,10,"C","Fuel Dump",NA,"3-spine",2
"49",2015,2015-08-03,215,13,"C","Fuel Dump",NA,"sculpin",0
"50",2015,2015-08-03,215,13,"C","Fuel Dump",NA,"3-spine",1
"51",2015,2015-08-03,215,3,"E","Fuel Dump",NA,"sculpin",0
"52",2015,2015-08-03,215,3,"E","Fuel Dump",NA,"3-spine",2
"53",2015,2015-08-03,215,6,"E","Fuel Dump",NA,"sculpin",0
"54",2015,2015-08-03,215,6,"E","Fuel Dump",NA,"3-spine",13
"55",2015,2015-08-03,215,9,"E","Fuel Dump",NA,"sculpin",0
"56",2015,2015-08-03,215,9,"E","Fuel Dump",NA,"3-spine",18
"57",2015,2015-08-03,215,12,"E","Fuel Dump",NA,"sculpin",2
"58",2015,2015-08-03,215,12,"E","Fuel Dump",NA,"3-spine",3
"59",2015,2015-08-03,215,15,"E","Fuel Dump",NA,"sculpin",1
"60",2015,2015-08-03,215,15,"E","Fuel Dump",NA,"3-spine",4
"61",2015,2015-08-04,216,2,"A","Woody",NA,"sculpin",0
"62",2015,2015-08-04,216,2,"A","Woody",NA,"3-spine",2
"63",2015,2015-08-04,216,5,"A","Woody",NA,"sculpin",0
"64",2015,2015-08-04,216,5,"A","Woody",NA,"3-spine",0
"65",2015,2015-08-04,216,8,"A","Woody",NA,"sculpin",0
"66",2015,2015-08-04,216,8,"A","Woody",NA,"3-spine",1
"67",2015,2015-08-04,216,11,"A","Woody",NA,"sculpin",0
"68",2015,2015-08-04,216,11,"A","Woody",NA,"3-spine",0
"69",2015,2015-08-04,216,14,"A","Woody",NA,"sculpin",0
"70",2015,2015-08-04,216,14,"A","Woody",NA,"3-spine",0
"71",2015,2015-08-04,216,4,"C","Woody",NA,"sculpin",0
"72",2015,2015-08-04,216,4,"C","Woody",NA,"3-spine",0
"73",2015,2015-08-04,216,7,"C","Woody",NA,"sculpin",1
"74",2015,2015-08-04,216,7,"C","Woody",NA,"3-spine",1
"75",2015,2015-08-04,216,10,"C","Woody",NA,"sculpin",4
"76",2015,2015-08-04,216,10,"C","Woody",NA,"3-spine",0
"77",2015,2015-08-04,216,13,"C","Woody",NA,"sculpin",1
"78",2015,2015-08-04,216,13,"C","Woody",NA,"3-spine",0
"79",2015,2015-08-04,216,3,"E","Woody",NA,"sculpin",21
"80",2015,2015-08-04,216,3,"E","Woody",NA,"3-spine",8
"81",2015,2015-08-04,216,6,"E","Woody",NA,"sculpin",13
"82",2015,2015-08-04,216,6,"E","Woody",NA,"3-spine",1
"83",2015,2015-08-04,216,9,"E","Woody",NA,"sculpin",105
"84",2015,2015-08-04,216,9,"E","Woody",NA,"3-spine",0
"85",2015,2015-08-04,216,12,"E","Woody",NA,"sculpin",17
"86",2015,2015-08-04,216,12,"E","Woody",NA,"3-spine",0
"87",2015,2015-08-04,216,15,"E","Woody",NA,"sculpin",6
"88",2015,2015-08-04,216,15,"E","Woody",NA,"3-spine",0
"89",2015,2015-08-05,217,2,"A","Fuel Dump",NA,"sculpin",0
"90",2015,2015-08-05,217,2,"A","Fuel Dump",NA,"3-spine",0
"91",2015,2015-08-05,217,5,"A","Fuel Dump",NA,"sculpin",8
"92",2015,2015-08-05,217,5,"A","Fuel Dump",NA,"3-spine",0
"93",2015,2015-08-05,217,8,"A","Fuel Dump",NA,"sculpin",0
"94",2015,2015-08-05,217,8,"A","Fuel Dump",NA,"3-spine",2
"95",2015,2015-08-05,217,11,"A","Fuel Dump",NA,"sculpin",1
"96",2015,2015-08-05,217,11,"A","Fuel Dump",NA,"3-spine",3
"97",2015,2015-08-05,217,14,"A","Fuel Dump",NA,"sculpin",1
"98",2015,2015-08-05,217,14,"A","Fuel Dump",NA,"3-spine",4
"99",2015,2015-08-05,217,4,"C","Fuel Dump",NA,"sculpin",0
"100",2015,2015-08-05,217,4,"C","Fuel Dump",NA,"3-spine",0
"101",2015,2015-08-05,217,7,"C","Fuel Dump",NA,"sculpin",1
"102",2015,2015-08-05,217,7,"C","Fuel Dump",NA,"3-spine",0
"103",2015,2015-08-05,217,10,"C","Fuel Dump",NA,"sculpin",0
"104",2015,2015-08-05,217,10,"C","Fuel Dump",NA,"3-spine",2
"105",2015,2015-08-05,217,13,"C","Fuel Dump",NA,"sculpin",1
"106",2015,2015-08-05,217,13,"C","Fuel Dump",NA,"3-spine",2
"107",2015,2015-08-05,217,3,"E","Fuel Dump",NA,"sculpin",10
"108",2015,2015-08-05,217,3,"E","Fuel Dump",NA,"3-spine",3
"109",2015,2015-08-05,217,6,"E","Fuel Dump",NA,"sculpin",15
"110",2015,2015-08-05,217,6,"E","Fuel Dump",NA,"3-spine",1
"111",2015,2015-08-05,217,9,"E","Fuel Dump",NA,"sculpin",11
"112",2015,2015-08-05,217,9,"E","Fuel Dump",NA,"3-spine",0
"113",2015,2015-08-05,217,12,"E","Fuel Dump",NA,"sculpin",40
"114",2015,2015-08-05,217,12,"E","Fuel Dump",NA,"3-spine",2
"115",2015,2015-08-05,217,15,"E","Fuel Dump",NA,"sculpin",19
"116",2015,2015-08-05,217,15,"E","Fuel Dump",NA,"3-spine",9
"117",2015,2015-08-06,218,2,"A","Woody",NA,"sculpin",0
"118",2015,2015-08-06,218,2,"A","Woody",NA,"3-spine",0
"119",2015,2015-08-06,218,5,"A","Woody",NA,"sculpin",0
"120",2015,2015-08-06,218,5,"A","Woody",NA,"3-spine",0
"121",2015,2015-08-06,218,8,"A","Woody",NA,"sculpin",4
"122",2015,2015-08-06,218,8,"A","Woody",NA,"3-spine",0
"123",2015,2015-08-06,218,11,"A","Woody",NA,"sculpin",11
"124",2015,2015-08-06,218,11,"A","Woody",NA,"3-spine",0
"125",2015,2015-08-06,218,14,"A","Woody",NA,"sculpin",1
"126",2015,2015-08-06,218,14,"A","Woody",NA,"3-spine",0
"127",2015,2015-08-06,218,4,"C","Woody",NA,"sculpin",0
"128",2015,2015-08-06,218,4,"C","Woody",NA,"3-spine",2
"129",2015,2015-08-06,218,7,"C","Woody",NA,"sculpin",4
"130",2015,2015-08-06,218,7,"C","Woody",NA,"3-spine",0
"131",2015,2015-08-06,218,10,"C","Woody",NA,"sculpin",3
"132",2015,2015-08-06,218,10,"C","Woody",NA,"3-spine",0
"133",2015,2015-08-06,218,13,"C","Woody",NA,"sculpin",0
"134",2015,2015-08-06,218,13,"C","Woody",NA,"3-spine",0
"135",2015,2015-08-06,218,3,"E","Woody",NA,"sculpin",5
"136",2015,2015-08-06,218,3,"E","Woody",NA,"3-spine",0
"137",2015,2015-08-06,218,6,"E","Woody",NA,"sculpin",6
"138",2015,2015-08-06,218,6,"E","Woody",NA,"3-spine",0
"139",2015,2015-08-06,218,9,"E","Woody",NA,"sculpin",73
"140",2015,2015-08-06,218,9,"E","Woody",NA,"3-spine",0
"141",2015,2015-08-06,218,12,"E","Woody",NA,"sculpin",19
"142",2015,2015-08-06,218,12,"E","Woody",NA,"3-spine",1
"143",2015,2015-08-06,218,15,"E","Woody",NA,"sculpin",6
"144",2015,2015-08-06,218,15,"E","Woody",NA,"3-spine",0
"145",2015,2015-08-07,219,2,"A","Fuel Dump",NA,"sculpin",0
"146",2015,2015-08-07,219,2,"A","Fuel Dump",NA,"3-spine",7
"147",2015,2015-08-07,219,5,"A","Fuel Dump",NA,"sculpin",1
"148",2015,2015-08-07,219,5,"A","Fuel Dump",NA,"3-spine",0
"149",2015,2015-08-07,219,8,"A","Fuel Dump",NA,"sculpin",0
"150",2015,2015-08-07,219,8,"A","Fuel Dump",NA,"3-spine",4
"151",2015,2015-08-07,219,11,"A","Fuel Dump",NA,"sculpin",0
"152",2015,2015-08-07,219,11,"A","Fuel Dump",NA,"3-spine",0
